Name,UDID
Height Gauge,0x05
Force Gauge,0x06
Machine Tool Holder,0x01
Generic Clamping Device,0x02
Clamping Jaws/Jaw Chuck,0x03
Clamping (Collet) Chuck,0x04
Clamping Mandrel,0x05
Vise,0x06
Zero-Point Clamping System,0x07
Torque Wrench,0x08
Torque Screwdriver,0x09
Pot and Jugs,0x01
Pressure Cooker,0x02
Slow Cooker,0x03
Steam Cooker,0x04
Saucepan,0x05
Frying Pan,0x06
Casserole,0x07
Dutch Oven,0x08
Grill Pan/Raclette Grill/Griddle Pan,0x09
Braising Pan,0x0A
Wok Pan,0x0B
Paella Pan,0x0C
Crepe Pan,0x0D
Tagine,0x0E
Fondue,0x0F
Lid,0x10
Wired Probe,0x11
Wireless Probe,0x12
Baking Molds,0x13
Baking Tray,0x14
